supplement_name,medication_name,severity,description,recommendation
"Fish Oil","Warfarin",high,"Increased bleeding risk due to antiplatelet effects","Monitor INR closely; report unusual bleeding. Not medical advice."
"Fish Oil (Omega-3)","Warfarin",high,"Increased bleeding risk due to antiplatelet effects","Monitor INR closely; report unusual bleeding. Not medical advice."
"Omega-3","Warfarin",high,"Increased bleeding risk due to antiplatelet effects","Monitor INR closely; report unusual bleeding. Not medical advice."
"Garlic","Warfarin",moderate,"May potentiate anticoagulant effect","Avoid high-dose garlic supplements; monitor INR. Not medical advice."
"Ginkgo Biloba","Warfarin",high,"Increased bleeding risk","Avoid combination; consult prescriber. Not medical advice."
"Vitamin E","Warfarin",moderate,"High doses may increase bleeding risk","Limit vitamin E >400 IU; monitor INR. Not medical advice."
"Vitamin K","Warfarin",high,"Directly antagonizes warfarin anticoagulant effect","Maintain consistent vitamin K intake; consult prescriber. Not medical advice."
"Vitamin K2","Warfarin",high,"Directly antagonizes warfarin anticoagulant effect","Maintain consistent vitamin K intake; consult prescriber. Not medical advice."
"Fish Oil","Aspirin",moderate,"Additive antiplatelet effects increase bleeding risk","Monitor for bleeding signs; separate timing if possible. Not medical advice."
"Omega-3","Aspirin",moderate,"Additive antiplatelet effects increase bleeding risk","Monitor for bleeding signs; separate timing if possible. Not medical advice."
"Garlic","Clopidogrel",moderate,"May enhance antiplatelet effects","Avoid high-dose supplements; monitor for bleeding. Not medical advice."
"Garlic","Clopidogrel (Plavix)",moderate,"May enhance antiplatelet effects","Avoid high-dose supplements; monitor for bleeding. Not medical advice."
"Ginkgo Biloba","Aspirin",moderate,"Increased bleeding risk","Use cautiously; monitor for bleeding. Not medical advice."
"Ginkgo Biloba","Clopidogrel",moderate,"Increased bleeding risk","Use cautiously; monitor for bleeding. Not medical advice."
"St. John's Wort","Sertraline",severe,"Risk of serotonin syndrome; CYP inducer reduces drug levels","Do not combine; consult prescriber immediately. Not medical advice."
"St. John's Wort","Sertraline (Zoloft)",severe,"Risk of serotonin syndrome; CYP inducer reduces drug levels","Do not combine; consult prescriber immediately. Not medical advice."
"St. John's Wort","Fluoxetine",severe,"Risk of serotonin syndrome; CYP inducer reduces drug levels","Do not combine; consult prescriber immediately. Not medical advice."
"St. John's Wort","Escitalopram",severe,"Risk of serotonin syndrome; CYP inducer reduces drug levels","Do not combine; consult prescriber immediately. Not medical advice."
"St. John's Wort","Venlafaxine",severe,"Risk of serotonin syndrome; CYP inducer reduces drug levels","Do not combine; consult prescriber immediately. Not medical advice."
