supplement_name,medication_name,severity,mechanism,evidence,recommendation
Supplement 194,Medication 99,high,Absorption reduction,C,Auto-generated interaction
Supplement 436,Medication 112,moderate,Absorption reduction,C,Auto-generated interaction
Supplement 784,Medication 27,high,Absorption reduction,C,Auto-generated interaction
Supplement 776,Medication 125,moderate,Additive effect,B,Auto-generated interaction
Supplement 100,Medication 98,severe,Unknown,B,Auto-generated interaction
Supplement 265,Medication 60,high,Absorption reduction,C,Auto-generated interaction
Supplement 755,Medication 88,high,Metabolism inhibition,A,Auto-generated interaction
Supplement 922,Medication 37,low,Metabolism inhibition,C,Auto-generated interaction
Supplement 761,Medication 84,low,Unknown,C,Auto-generated interaction
Supplement 977,Medication 80,high,Additive effect,B,Auto-generated interaction
Supplement 213,Medication 111,moderate,Unknown,B,Auto-generated interaction
Supplement 922,Medication 139,low,Absorption reduction,B,Auto-generated interaction
Supplement 496,Medication 86,high,Additive effect,A,Auto-generated interaction
Supplement 660,Medication 76,moderate,Unknown,A,Auto-generated interaction
Supplement 525,Medication 65,high,Unknown,C,Auto-generated interaction
Supplement 258,Medication 138,high,Additive effect,B,Auto-generated interaction
Supplement 122,Medication 65,moderate,Additive effect,A,Auto-generated interaction
Supplement 188,Medication 122,high,Unknown,B,Auto-generated interaction
Supplement 408,Medication 38,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 310,Medication 122,low,Absorption reduction,C,Auto-generated interaction
Supplement 431,Medication 16,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 866,Medication 65,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 635,Medication 132,high,Unknown,A,Auto-generated interaction
Supplement 625,Medication 103,low,Additive effect,C,Auto-generated interaction
Supplement 51,Medication 6,high,Unknown,A,Auto-generated interaction
Supplement 978,Medication 74,high,Additive effect,B,Auto-generated interaction
Supplement 302,Medication 107,severe,Absorption reduction,B,Auto-generated interaction
Supplement 66,Medication 28,low,Metabolism inhibition,C,Auto-generated interaction
Supplement 481,Medication 103,moderate,Unknown,C,Auto-generated interaction
Supplement 964,Medication 9,high,Additive effect,C,Auto-generated interaction
Supplement 566,Medication 78,high,Absorption reduction,B,Auto-generated interaction
Supplement 846,Medication 143,low,Absorption reduction,B,Auto-generated interaction
Supplement 43,Medication 63,severe,Additive effect,B,Auto-generated interaction
Supplement 164,Medication 132,high,Additive effect,B,Auto-generated interaction
Supplement 581,Medication 137,low,Additive effect,B,Auto-generated interaction
Supplement 465,Medication 25,severe,Absorption reduction,C,Auto-generated interaction
Supplement 687,Medication 18,severe,Absorption reduction,C,Auto-generated interaction
Supplement 340,Medication 94,moderate,Metabolism inhibition,A,Auto-generated interaction
Supplement 284,Medication 141,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 693,Medication 3,severe,Metabolism inhibition,A,Auto-generated interaction
Supplement 553,Medication 93,low,Unknown,A,Auto-generated interaction
Supplement 801,Medication 75,low,Unknown,B,Auto-generated interaction
Supplement 523,Medication 101,high,Unknown,C,Auto-generated interaction
Supplement 964,Medication 49,moderate,Additive effect,A,Auto-generated interaction
Supplement 616,Medication 94,severe,Metabolism inhibition,C,Auto-generated interaction
Supplement 692,Medication 120,high,Absorption reduction,C,Auto-generated interaction
Supplement 137,Medication 89,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 23,Medication 81,moderate,Additive effect,A,Auto-generated interaction
Supplement 439,Medication 103,moderate,Metabolism inhibition,A,Auto-generated interaction
Supplement 600,Medication 119,severe,Absorption reduction,A,Auto-generated interaction
Supplement 117,Medication 63,low,Additive effect,C,Auto-generated interaction
Supplement 63,Medication 4,low,Unknown,B,Auto-generated interaction
Supplement 404,Medication 56,high,Additive effect,C,Auto-generated interaction
Supplement 882,Medication 41,low,Unknown,C,Auto-generated interaction
