a_name,a_type,b_name,b_type,severity,summary_short,mechanism,clinical_effect,management,evidence_grade,confidence
"St. John's Wort",supplement,Fluoxetine,drug,avoid,Severe risk of serotonin syndrome,St. John's Wort inhibits serotonin reuptake and may have MAO inhibitory effects combined with SSRI increases serotonin toxicity risk.,Serotonin syndrome symptoms: confusion agitation muscle twitching sweating tremor fever.,Avoid combination. Discontinue St. John's Wort at least 2 weeks before starting SSRI.,A,high
Ginkgo,supplement,Warfarin,drug,caution,Increased bleeding risk when combining warfarin with ginkgo,Ginkgo has antiplatelet effects and may inhibit platelet-activating factor potentially enhancing warfarin's anticoagulant effects.,Increased risk of bleeding bruising or hemorrhage. May affect INR stability.,Monitor INR more frequently. Watch for signs of bleeding. Consider avoiding or using with close monitoring.,B,moderate
Garlic,supplement,Warfarin,drug,caution,Garlic may enhance anticoagulant effects,Garlic has antiplatelet properties and may affect platelet aggregation potentially increasing bleeding risk.,Increased bleeding tendency prolonged bleeding time bruising.,Monitor INR closely if taking high-dose garlic supplements. Use garlic in food amounts generally considered safe.,B,moderate
Fish Oil,supplement,Warfarin,drug,caution,Fish oil may increase bleeding risk,Omega-3 fatty acids have mild antiplatelet effects that may enhance anticoagulation.,Potential for increased bleeding particularly at high doses (>3g/day).,Use fish oil doses under 3g/day. Monitor for bleeding signs. Check INR more frequently.,B,moderate
Vitamin E,supplement,Warfarin,drug,caution,Vitamin E may enhance anticoagulant effects,Vitamin E at high doses (>400 IU) may inhibit platelet aggregation and enhance anticoagulation.,Increased bleeding risk especially at doses above 400 IU daily.,Limit vitamin E to <400 IU daily. Monitor INR if taking higher doses.,B,moderate
Melatonin,supplement,Alprazolam,drug,caution,Additive sedative effects,Both substances cause CNS depression and sedation through different mechanisms.,Excessive drowsiness dizziness impaired coordination risk of falls.,Use together only under medical supervision. Avoid activities requiring alertness. Consider timing doses separately.,C,moderate
Vitamin K,supplement,Warfarin,drug,monitor,Vitamin K antagonizes warfarin effects,Vitamin K is required for clotting factor synthesis. High vitamin K intake reduces warfarin effectiveness.,Decreased INR reduced anticoagulation increased clotting risk.,Maintain consistent vitamin K intake. Avoid sudden increases in vitamin K-rich foods or supplements.,A,high
Iron,supplement,Levothyroxine,drug,monitor,Iron reduces levothyroxine absorption,Iron chelates with levothyroxine in the GI tract forming insoluble complexes.,Reduced thyroid hormone levels potential hypothyroid symptoms.,Separate doses by at least 4 hours. Monitor TSH levels.,A,high
Calcium,supplement,Levothyroxine,drug,monitor,Calcium reduces levothyroxine absorption,Calcium binds to levothyroxine in the GI tract reducing bioavailability.,Decreased thyroid hormone levels possible need for dose adjustment.,Take levothyroxine at least 4 hours apart from calcium. Monitor TSH.,A,high
Ginkgo,supplement,"Vitamin E",supplement,caution,Increased bleeding risk when combined,Both have antiplatelet effects that may be additive.,Enhanced bleeding tendency particularly with high doses of vitamin E (>400 IU).,Use together with caution. Monitor for unusual bleeding or bruising. Keep vitamin E below 400 IU daily.,B,moderate
"Fish Oil",supplement,Ginkgo,supplement,caution,Additive antiplatelet effects increase bleeding risk,Both omega-3 fatty acids and ginkgo have antiplatelet properties.,Increased risk of bleeding bruising especially at high doses.,Use together with caution. Monitor for bleeding signs. Keep fish oil below 3g/day.,B,moderate
"Fish Oil",supplement,"Vitamin E",supplement,monitor,Both have antiplatelet effects,Mild additive antiplatelet activity.,Slightly increased bleeding risk at high doses of both.,Generally safe at moderate doses. Monitor for unusual bleeding if taking high doses of both.,C,low
Calcium,supplement,Iron,supplement,monitor,Calcium reduces iron absorption,Both compete for the same intestinal absorption pathways.,Reduced iron absorption potential for iron deficiency with chronic co-administration.,Separate doses by 2-4 hours for optimal absorption of both.,A,high
Calcium,supplement,"Vitamin D",supplement,info,Vitamin D enhances calcium absorption,Vitamin D is required for optimal calcium absorption in the intestine.,Beneficial combination for bone health. Vitamin D improves calcium utilization.,Recommended to take together for bone health. Common and safe combination.,A,high
Iron,supplement,"Vitamin C",supplement,info,Vitamin C enhances iron absorption,Vitamin C reduces ferric iron to ferrous form which is more readily absorbed.,Beneficial interaction. Vitamin C significantly improves non-heme iron absorption.,Recommended to take together especially for plant-based iron sources.,A,high
Magnesium,supplement,"Vitamin D",supplement,info,Magnesium needed for vitamin D metabolism,Magnesium is a cofactor for enzymes that activate vitamin D.,Beneficial combination. Magnesium deficiency may impair vitamin D utilization.,Recommended to take together. Both support bone health and metabolic function.,B,moderate
Calcium,supplement,Magnesium,supplement,monitor,High calcium may reduce magnesium absorption,Both compete for absorption in the intestine.,Very high calcium intake may impair magnesium absorption over time.,Use balanced ratio (2:1 calcium to magnesium). Separate doses by 2 hours if taking high doses.,B,moderate
