name,type
Magnesium,supplement
Ashwagandha,supplement
Omega-3,supplement
Fish Oil,supplement
Vitamin D,supplement
Vitamin D3,supplement
Vitamin C,supplement
Vitamin E,supplement
Vitamin B12,supplement
Vitamin B6,supplement
Vitamin A,supplement
Vitamin K,supplement
Biotin,supplement
Folate,supplement
Folic Acid,supplement
Zinc,supplement
Iron,supplement
Calcium,supplement
Potassium,supplement
Selenium,supplement
Chromium,supplement
Copper,supplement
Manganese,supplement
Iodine,supplement
Molybdenum,supplement
CoQ10,supplement
Coenzyme Q10,supplement
Turmeric,supplement
Curcumin,supplement
St. John's Wort,supplement
Ginkgo Biloba,supplement
Ginseng,supplement
Panax Ginseng,supplement
Echinacea,supplement
Garlic,supplement
Ginger,supplement
Green Tea Extract,supplement
EGCG,supplement
Resveratrol,supplement
Quercetin,supplement
Alpha Lipoic Acid,supplement
Melatonin,supplement
5-HTP,supplement
SAMe,supplement
L-Theanine,supplement
GABA,supplement
Valerian Root,supplement
Passionflower,supplement
Chamomile,supplement
Lemon Balm,supplement
Kava,supplement
Rhodiola,supplement
Bacopa,supplement
Lion's Mane,supplement
Cordyceps,supplement
Reishi,supplement
Chaga,supplement
Turkey Tail,supplement
Maitake,supplement
Shiitake,supplement
Creatine,supplement
Beta-Alanine,supplement
BCAAs,supplement
L-Carnitine,supplement
L-Arginine,supplement
L-Citrulline,supplement
Glutamine,supplement
Taurine,supplement
Glycine,supplement
Proline,supplement
Lysine,supplement
Methionine,supplement
Tryptophan,supplement
Phenylalanine,supplement
Tyrosine,supplement
Histidine,supplement
Glucosamine,supplement
Chondroitin,supplement
MSM,supplement
Hyaluronic Acid,supplement
Collagen,supplement
Gelatin,supplement
Probiotics,supplement
Prebiotics,supplement
Digestive Enzymes,supplement
Lactobacillus,supplement
Bifidobacterium,supplement
Milk Thistle,supplement
Dandelion Root,supplement
Artichoke Extract,supplement
N-Acetyl Cysteine,supplement
NAC,supplement
Glutathione,supplement
Spirulina,supplement
Chlorella,supplement
Wheatgrass,supplement
Barley Grass,supplement
Moringa,supplement
Maca,supplement
Tribulus,supplement
Fenugreek,supplement
Saw Palmetto,supplement
Pygeum,supplement
Beta Sitosterol,supplement
Nettle Root,supplement
Pumpkin Seed,supplement
Lycopene,supplement
Lutein,supplement
Zeaxanthin,supplement
Astaxanthin,supplement
Bilberry,supplement
Eyebright,supplement
DHA,supplement
EPA,supplement
Krill Oil,supplement
Flaxseed Oil,supplement
Evening Primrose Oil,supplement
Borage Oil,supplement
Black Currant Oil,supplement
CLA,supplement
MCT Oil,supplement
Coconut Oil,supplement
Olive Leaf Extract,supplement
Grape Seed Extract,supplement
Pine Bark Extract,supplement
Pycnogenol,supplement
Hawthorn,supplement
Horse Chestnut,supplement
Butcher's Broom,supplement
Cayenne,supplement
Black Pepper Extract,supplement
Piperine,supplement
Berberine,supplement
Bitter Melon,supplement
Gymnema,supplement
Cinnamon,supplement
Apple Cider Vinegar,supplement
Psyllium,supplement
Inulin,supplement
FOS,supplement
Chicory Root,supplement
Slippery Elm,supplement
Marshmallow Root,supplement
DGL,supplement
Zinc Carnosine,supplement
L-Glutamine,supplement
Aloe Vera,supplement
Triphala,supplement
Cascara Sagrada,supplement
Senna,supplement
Elderberry,supplement
Sambucus,supplement
Andrographis,supplement
Astragalus,supplement
Cat's Claw,supplement
Olive Leaf,supplement
Oregano Oil,supplement
Monolaurin,supplement
Caprylic Acid,supplement
Undecylenic Acid,supplement
Pau d'Arco,supplement
Goldenseal,supplement
Uva Ursi,supplement
Cranberry,supplement
D-Mannose,supplement
Bromelain,supplement
Papain,supplement
Serrapeptase,supplement
Nattokinase,supplement
Lumbrokinase,supplement
Rutin,supplement
Hesperidin,supplement
Diosmin,supplement
DHEA,supplement
Pregnenolone,supplement
7-Keto DHEA,supplement
Phosphatidylserine,supplement
Phosphatidylcholine,supplement
Inositol,supplement
Choline,supplement
Betaine,supplement
TMG,supplement
Acetyl-L-Carnitine,supplement
ALCAR,supplement
Alpha-GPC,supplement
CDP-Choline,supplement
Huperzine A,supplement
Vinpocetine,supplement
Gotu Kola,supplement
Centella,supplement
Mucuna Pruriens,supplement
L-DOPA,supplement
Sulbutiamine,supplement
PQQ,supplement
Nicotinamide Riboside,supplement
NR,supplement
NMN,supplement
Levothyroxine,medication
Synthroid,medication
Sertraline,medication
Zoloft,medication
Metformin,medication
Glucophage,medication
Warfarin,medication
Coumadin,medication
Lisinopril,medication
Prinivil,medication
Atorvastatin,medication
Lipitor,medication
Amlodipine,medication
Norvasc,medication
Omeprazole,medication
Prilosec,medication
Losartan,medication
Cozaar,medication
Ibuprofen,medication
Advil,medication
Motrin,medication
Acetaminophen,medication
Tylenol,medication
Aspirin,medication
Simvastatin,medication
Zocor,medication
Rosuvastatin,medication
Crestor,medication
Pravastatin,medication
Pravachol,medication
Metoprolol,medication
Lopressor,medication
Toprol,medication
Furosemide,medication
Lasix,medication
Hydrochlorothiazide,medication
HCTZ,medication
Microzide,medication
Gabapentin,medication
Neurontin,medication
Prednisone,medication
Deltasone,medication
Albuterol,medication
ProAir,medication
Ventolin,medication
Pantoprazole,medication
Protonix,medication
Escitalopram,medication
Lexapro,medication
Fluoxetine,medication
Prozac,medication
Citalopram,medication
Celexa,medication
Venlafaxine,medication
Effexor,medication
Duloxetine,medication
Cymbalta,medication
Bupropion,medication
Wellbutrin,medication
Zyban,medication
Paroxetine,medication
Paxil,medication
Amitriptyline,medication
Elavil,medication
Nortriptyline,medication
Pamelor,medication
Clonazepam,medication
Klonopin,medication
Lorazepam,medication
Ativan,medication
Alprazolam,medication
Xanax,medication
Diazepam,medication
Valium,medication
Zolpidem,medication
Ambien,medication
Eszopiclone,medication
Lunesta,medication
Trazodone,medication
Desyrel,medication
Mirtazapine,medication
Remeron,medication
Quetiapine,medication
Seroquel,medication
Aripiprazole,medication
Abilify,medication
Risperidone,medication
Risperdal,medication
Olanzapine,medication
Zyprexa,medication
Lithium,medication
Eskalith,medication
Carbamazepine,medication
Tegretol,medication
Valproic Acid,medication
Depakote,medication
Lamotrigine,medication
Lamictal,medication
Topiramate,medication
Topamax,medication
Levetiracetam,medication
