supplement_id,medication_id,severity,mechanism,evidence,notes
194,99,High,Absorption reduction,C,Auto-generated interaction
436,112,Moderate,Absorption reduction,C,Auto-generated interaction
784,27,High,Absorption reduction,C,Auto-generated interaction
776,125,Moderate,Additive effect,B,Auto-generated interaction
100,98,Severe,Unknown,B,Auto-generated interaction
265,60,High,Absorption reduction,C,Auto-generated interaction
755,88,High,Metabolism inhibition,A,Auto-generated interaction
922,37,Low,Metabolism inhibition,C,Auto-generated interaction
761,84,Low,Unknown,C,Auto-generated interaction
977,80,High,Additive effect,B,Auto-generated interaction
213,111,Moderate,Unknown,B,Auto-generated interaction
922,139,Low,Absorption reduction,B,Auto-generated interaction
496,86,High,Additive effect,A,Auto-generated interaction
660,76,Moderate,Unknown,A,Auto-generated interaction
525,65,High,Unknown,C,Auto-generated interaction
258,138,High,Additive effect,B,Auto-generated interaction
122,65,Moderate,Additive effect,A,Auto-generated interaction
188,122,High,Unknown,B,Auto-generated interaction
408,38,Low,Metabolism inhibition,A,Auto-generated interaction
310,122,Low,Absorption reduction,C,Auto-generated interaction
431,16,Severe,Metabolism inhibition,B,Auto-generated interaction
866,65,Moderate,Metabolism inhibition,B,Auto-generated interaction
635,132,High,Unknown,A,Auto-generated interaction
625,103,Low,Additive effect,C,Auto-generated interaction
51,6,High,Unknown,A,Auto-generated interaction
978,74,High,Additive effect,B,Auto-generated interaction
302,107,Severe,Absorption reduction,B,Auto-generated interaction
66,28,Low,Metabolism inhibition,C,Auto-generated interaction
481,103,Moderate,Unknown,C,Auto-generated interaction
964,9,High,Additive effect,C,Auto-generated interaction
566,78,High,Absorption reduction,B,Auto-generated interaction
846,143,Low,Absorption reduction,B,Auto-generated interaction
43,63,Severe,Additive effect,B,Auto-generated interaction
164,132,High,Additive effect,B,Auto-generated interaction
581,137,Low,Additive effect,B,Auto-generated interaction
465,25,Severe,Absorption reduction,C,Auto-generated interaction
687,18,Severe,Absorption reduction,C,Auto-generated interaction
